id,length,azimuth
,0.588,"85"
,1.095,"79"
,0.513,"125"
,0.195,"94"
,0.161,"88"
,0.615,"97"
,0.384,"128"
,0.833,"90"
,0.939,"115"
,0.331,"161"
,0.534,"78"
,2.033,"53"
,1.079,"80"
,1.222,"72"
,1.428,"80"
,0.451,"99"
,1.408,"122"
,0.358,"136"
,0.152,"172"
,0.399,"106"
,0.379,"9"
,0.269,"129"
,9.151,"116"
,3.466,"113"
,1.307,"109"
,1.677,"116"
,0.952,"43"
,0.242,"38"
,0.407,"36"
,1.037,"38"
,4.747,"110"
,11.275,"115"
,3.364,"133"
,2.980,"112"
,0.609,"10"
,0.426,"91"
,0.665,"17"
,0.473,"110"
,0.221,"78"
,0.395,"133"
,0.200,"108"
,1.106,"115"
,0.846,"131"
,0.554,"77"
,0.503,"81"
,1.047,"123"
,0.942,"151"
,1.157,"107"
,1.184,"133"
,0.455,"129"
,1.212,"121"
,0.800,"119"
,1.355,"88"
,1.056,"88"
,0.491,"54"
,0.612,"52"
,0.418,"49"
,1.104,"105"
,9.460,"123"
,0.406,"42"
,0.308,"33"
,0.445,"46"
,0.994,"106"
,1.361,"114"
,1.416,"66"
,0.678,"110"
,0.352,"89"
,1.448,"100"
,0.698,"27"
,0.419,"136"
,0.976,"118"
,1.286,"58"
,1.744,"119"
,1.231,"33"
,0.404,"24"
,3.001,"38"
,3.868,"111"
,1.307,"113"
,0.292,"113"
,1.147,"47"
,1.084,"137"
,0.286,"27"
,0.756,"109"
,1.341,"110"
,5.379,"114"
,4.330,"135"
,1.626,"89"
,4.195,"123"
,2.920,"83"
,1.396,"94"
,1.284,"94"
,2.351,"103"
,1.553,"99"
,0.426,"100"
,1.087,"93"
,0.872,"59"
,7.460,"80"
,1.626,"68"
,4.218,"142"
,2.921,"109"
,3.880,"126"
,1.806,"74"
,0.278,"60"
,0.645,"61"
,0.078,"67"
,0.804,"49"
,0.601,"109"
,1.603,"80"
,0.937,"100"
,1.019,"14"
,1.881,"89"
,0.516,"93"
,2.898,"85"
,0.634,"85"
,0.590,"172"
,9.083,"115"
,1.758,"45"
,1.636,"51"
,2.797,"121"
,0.649,"28"
,8.794,"115"
,7.295,"99"
,1.551,"19"
,2.115,"108"
,0.688,"140"
,0.525,"93"
,0.555,"100"
,1.609,"82"
,2.186,"109"
,0.468,"97"
,1.314,"129"
,0.256,"111"
,1.877,"125"
,4.298,"121"
,0.764,"110"
,1.885,"35"
,0.160,"26"
,0.590,"127"
,0.549,"130"
,0.173,"132"
,3.952,"120"
,0.914,"41"
,0.953,"116"
,0.892,"112"
,0.800,"29"
,0.700,"24"
,3.007,"126"
,2.282,"54"
,3.089,"131"
,0.308,"36"
,0.524,"52"
,0.712,"26"
,0.511,"126"
,1.474,"129"
,1.348,"120"
,0.527,"114"
,3.240,"107"
,1.650,"37"
,1.580,"26"
,1.675,"23"
,0.628,"31"
,1.106,"53"
,0.834,"55"
,0.842,"54"
,1.166,"128"
,1.914,"136"
,1.733,"117"
,4.056,"105"
,0.899,"48"
,1.117,"45"
,0.635,"54"
,0.353,"74"
,0.602,"24"
,0.371,"116"
,0.422,"33"
,0.599,"38"
,0.513,"81"
,1.876,"110"
,0.312,"115"
,0.318,"110"
,0.639,"5"
,2.595,"114"
,0.949,"78"
,0.614,"105"
,0.929,"93"
,0.559,"90"
,5.922,"119"
,5.556,"127"
,3.053,"58"
,2.455,"100"
,2.505,"78"
,2.132,"103"
,3.282,"91"
,1.978,"106"
,2.746,"82"
,1.950,"82"
,2.118,"69"
,1.394,"92"
,0.429,"74"
,1.483,"81"
,3.040,"87"
,1.511,"75"
,4.359,"91"
,2.506,"90"
,1.967,"117"
,2.807,"94"
,0.747,"21"
,0.330,"18"
,1.134,"41"
,0.658,"24"
,0.541,"5"
,0.641,"20"
,0.496,"110"
,0.429,"34"
,0.266,"43"
,0.746,"107"
,0.504,"90"
,1.210,"119"
,1.523,"100"
,1.333,"41"
,0.865,"126"
,0.355,"41"
,1.808,"121"
,0.588,"101"
,0.579,"131"
,0.828,"134"
,4.843,"126"
,1.056,"104"
,1.094,"108"
,0.259,"27"
,3.180,"102"
,2.149,"129"
,0.475,"128"
,1.059,"100"
,0.494,"30"
,0.437,"29"
,0.396,"33"
,0.343,"129"
,2.913,"127"
,1.009,"108"
,0.404,"12"
,1.368,"105"
,1.621,"98"
,17.024,"63"
,1.131,"106"
,1.858,"61"
,1.996,"64"
,0.679,"119"
,1.869,"98"
,0.591,"59"
,1.390,"135"
,1.061,"128"
,0.259,"62"
,0.503,"44"
,0.682,"21"
,0.605,"118"
,1.532,"140"
,3.171,"42"
,0.705,"45"
,0.537,"35"
,3.078,"113"
,0.587,"47"
,0.493,"121"
,1.192,"86"
,0.364,"81"
,0.917,"134"
,0.530,"55"
,0.487,"42"
,0.798,"63"
,0.571,"75"
,0.613,"64"
,0.263,"79"
,1.751,"93"
,0.905,"94"
,0.345,"87"
,0.483,"80"
,0.320,"31"
,0.854,"138"
,0.233,"119"
,1.401,"138"
,0.761,"88"
,0.894,"90"
,0.746,"116"
,0.352,"109"
,2.122,"99"
,1.221,"31"
,0.700,"106"
,0.658,"97"
,0.927,"95"
,1.020,"105"
,1.632,"92"
,7.497,"95"
,1.951,"104"
,0.706,"18"
,0.346,"49"
,0.692,"22"
,1.940,"103"
,0.521,"43"
,0.758,"47"
,1.238,"102"
,1.977,"94"
,1.432,"97"
,1.745,"104"
,0.565,"34"
,1.161,"145"
,0.773,"49"
,1.791,"103"
,1.717,"111"
,0.227,"33"
,0.389,"46"
,2.398,"58"
,1.087,"96"
,0.516,"132"
,2.192,"101"
,0.269,"36"
,0.934,"147"
,1.497,"109"
,0.259,"35"
,0.247,"120"
,0.667,"148"
,0.384,"149"
,2.048,"141"
,0.773,"141"
,1.099,"103"
,2.309,"88"
,0.929,"39"
,11.865,"114"
,0.571,"110"
,0.935,"111"
,0.982,"30"
,0.559,"42"
,0.299,"49"
,0.650,"22"
,1.186,"29"
,0.210,"36"
,0.407,"6"
,0.417,"14"
,1.653,"105"
,0.637,"104"
,3.147,"104"
,0.442,"99"
,0.565,"139"
,1.036,"135"
,0.454,"37"
,0.216,"135"
,1.674,"116"
,0.491,"115"
,1.583,"113"
,0.271,"30"
,0.908,"60"
,0.754,"12"
,0.336,"54"
,0.652,"68"
,1.471,"103"
,0.783,"47"
,0.228,"50"
,0.272,"57"
,0.283,"33"
,1.196,"112"
,0.435,"172"
,0.856,"3"
,0.435,"80"
,0.482,"126"
,2.088,"85"
,1.280,"53"
,0.488,"106"
,1.189,"134"
,0.523,"155"
,0.687,"14"
,0.484,"98"
,1.034,"130"
,0.559,"98"
,0.657,"128"
,0.736,"136"
,1.470,"146"
,1.349,"153"
