type;n_type;n_index;n_origin;geometry;og_line_id
node;3;1777;[2 1];POINT Z (410102.88706539496 5081043.78886912 0);610
node;3;1778;[2 1];POINT Z (410102.938939072 5081043.760168258 0);611
node;3;1780;[1 2];POINT Z (410102.93091717095 5081043.838414797 0);613
node;3;1786;[1 2];POINT Z (410101.41937040666 5081041.656523222 0);616
node;3;1792;[1];POINT Z (410104.7623888516 5081040.236441914 0);620
node;3;1804;[2 1];POINT Z (410107.35160856775 5081039.588225716 0);621
node;3;1807;[1];POINT Z (410112.0081726892 5081039.868092911 0);624
node;3;1828;[2 1];POINT Z (410105.0983434511 5081044.724443007 0);632
node;3;1830;[1];POINT Z (410106.1292927374 5081044.7107739635 0);633
node;3;1838;[1 2];POINT Z (410106.7331604978 5081044.519407419 0);635
node;3;1839;[1 2];POINT Z (410106.6157006926 5081044.418029487 0);636
node;3;1840;[1 2];POINT Z (410106.69738175476 5081044.395227495 0);637
node;3;1843;[2 1];POINT Z (410108.40375498304 5081044.2097340245 0);639
node;3;1847;[1];POINT Z (410109.0912467755 5081043.72268876 0);640
node;3;1850;[2 1];POINT Z (410109.444872291 5081043.443404137 0);641
node;3;1867;[1 2];POINT Z (410105.6195894654 5081043.738753421 0);647
node;3;1877;[2 1];POINT Z (410105.7959620767 5081043.962931425 0);650
node;3;1880;[2 1];POINT Z (410106.3332590804 5081043.931469676 0);651
node;3;1892;[2 1];POINT Z (410110.41650923353 5081043.823329772 0);655
node;3;1896;[2 1];POINT Z (410110.75553472544 5081043.775307051 0);656
node;3;1900;[2 1];POINT Z (410111.1387242932 5081043.680838705 0);657
node;3;1902;[1];POINT Z (410111.3719766519 5081043.634564972 0);658
node;3;1904;[2 1];POINT Z (410111.415034124 5081043.7011635685 0);660
node;3;1908;[2 1];POINT Z (410111.7331297334 5081043.451760828 0);661
node;3;1910;[1 2];POINT Z (410111.82734791643 5081043.534927474 0);663
node;3;1911;[1 2];POINT Z (410111.8716180925 5081043.508079239 0);664
node;3;1913;[2 1];POINT Z (410111.73314303416 5081043.911135195 0);666
node;3;1915;[2 1];POINT Z (410111.894741449 5081043.813933141 0);667
node;3;1917;[2 1];POINT Z (410112.09036058304 5081043.719616771 0);668
node;3;1926;[1];POINT Z (410111.35127003904 5081044.473574011 0);671
node;3;1932;[2 1];POINT Z (410111.9760449152 5081044.017553219 0);672
node;3;1939;[2 1];POINT Z (410110.3632015839 5081047.656451841 0);675
